timestamp,ip,status
2025-06-25 10:05:07,192.168.45.12,DOWN
2025-06-25 10:05:07,8.8.8.8,UP
2025-06-25 10:05:07,10.0.56.78,DOWN
2025-06-25 10:05:07,172.16.34.201,DOWN
2025-06-25 10:05:07,1.1.1.1,UP
2025-06-25 10:05:07,100.64.23.5,DOWN
2025-06-25 10:05:07,45.33.32.156,UP
2025-06-25 10:05:07,208.67.222.222,UP
2025-06-25 10:05:07,8.26.4.199,DOWN
2025-06-25 10:05:07,9.9.9.9,UP
2025-06-25 10:06:02,192.168.45.12,DOWN
2025-06-25 10:06:02,8.8.8.8,UP
2025-06-25 10:06:02,10.0.56.78,DOWN
2025-06-25 10:06:02,172.16.34.201,DOWN
2025-06-25 10:06:02,1.1.1.1,UP
2025-06-25 10:06:02,100.64.23.5,DOWN
2025-06-25 10:06:02,45.33.32.156,UP
2025-06-25 10:06:02,208.67.222.222,UP
2025-06-25 10:06:02,8.26.4.199,DOWN
2025-06-25 10:06:02,9.9.9.9,DOWN
2025-06-25 10:56:09,192.168.45.12,DOWN
2025-06-25 10:56:09,8.8.8.8,UP
2025-06-25 10:56:09,10.0.56.78,DOWN
2025-06-25 10:56:09,172.16.34.201,DOWN
2025-06-25 10:56:09,1.1.1.1,UP
2025-06-25 10:56:09,100.64.23.5,DOWN
2025-06-25 10:56:09,45.33.32.156,UP
2025-06-25 10:56:09,208.67.222.222,UP
2025-06-25 10:56:09,8.26.4.199,DOWN
2025-06-25 10:56:09,9.9.9.9,UP
2025-06-25 14:27:08,192.168.45.12,DOWN
2025-06-25 14:27:08,8.8.8.8,UP
2025-06-25 14:27:08,10.0.56.78,DOWN
2025-06-25 14:27:08,172.16.34.201,DOWN
2025-06-25 14:27:08,1.1.1.1,UP
2025-06-25 14:27:08,100.64.23.5,DOWN
2025-06-25 14:27:08,45.33.32.156,UP
2025-06-25 14:27:08,208.67.222.222,UP
2025-06-25 14:27:08,8.26.4.199,DOWN
2025-06-25 14:27:08,9.9.9.9,UP
string,string,string
2025-06-26 09:28:07,192.168.45.12,DOWN
2025-06-26 09:28:07,8.8.8.8,UP
2025-06-26 09:28:07,10.0.56.78,DOWN
2025-06-26 09:28:07,172.16.34.201,DOWN
2025-06-26 09:28:07,1.1.1.1,UP
2025-06-26 09:28:07,100.64.23.5,DOWN
2025-06-26 09:28:07,45.33.32.156,UP
2025-06-26 09:28:07,208.67.222.222,UP
2025-06-26 09:28:07,8.26.4.199,DOWN
2025-06-26 09:28:07,9.9.9.9,UP
2025-06-30 08:17:52,192.168.45.12,DOWN
2025-06-30 08:17:52,8.8.8.8,UP
2025-06-30 08:17:52,10.0.56.78,DOWN
2025-06-30 08:17:52,172.16.34.201,DOWN
2025-06-30 08:17:52,1.1.1.1,UP
2025-06-30 08:17:52,100.64.23.5,DOWN
2025-06-30 08:17:52,45.33.32.156,UP
2025-06-30 08:17:52,208.67.222.222,UP
2025-06-30 08:17:52,8.26.4.199,DOWN
2025-06-30 08:17:52,9.9.9.9,UP
2025-07-01 08:47:08,192.168.45.12,DOWN
2025-07-01 08:47:08,8.8.8.8,UP
2025-07-01 08:47:08,10.0.56.78,DOWN
2025-07-01 08:47:08,172.16.34.201,DOWN
2025-07-01 08:47:08,1.1.1.1,UP
2025-07-01 08:47:08,100.64.23.5,DOWN
2025-07-01 08:47:08,45.33.32.156,UP
2025-07-01 08:47:08,208.67.222.222,UP
2025-07-01 08:47:08,8.26.4.199,DOWN
2025-07-01 08:47:08,9.9.9.9,UP
